date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:59:50	44659/44659	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:52:10%20GMT	https://validthemes.live//themeforest/digilab/index-3.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/index-3.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:50	45479/45479	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:52:12%20GMT	https://validthemes.live//themeforest/digilab/index-4.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/index-4.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:51	47519/47519	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:55:12%20GMT	https://validthemes.live//themeforest/digilab/index-5.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/index-5.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:51	28794/28794	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:51:32%20GMT	https://validthemes.live//themeforest/digilab/about-us.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/about-us.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:52	24216/24216	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:52:38%20GMT	https://validthemes.live//themeforest/digilab/team.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/team.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:52	20986/20986	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:52:34%20GMT	https://validthemes.live//themeforest/digilab/team-carousel.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/team-carousel.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:53	20848/20848	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:51:56%20GMT	https://validthemes.live//themeforest/digilab/contact.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/contact.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:54	23770/23770	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:52:20%20GMT	https://validthemes.live//themeforest/digilab/process.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/process.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:54	24704/24704	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:52:00%20GMT	https://validthemes.live//themeforest/digilab/faq.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/faq.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:55	7068/7068	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:36:14%20GMT	https://validthemes.live//themeforest/digilab/login.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/login.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:56	7629/7629	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:38:14%20GMT	https://validthemes.live//themeforest/digilab/register.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/register.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:57	17638/17638	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:51:10%20GMT	https://validthemes.live//themeforest/digilab/404.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/404.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:58	33218/33218	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:52:32%20GMT	https://validthemes.live//themeforest/digilab/services.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/services.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
10:59:59	32010/32010	---M-Z	200	added ('OK')	text/html	date:Sat,%2017%20Oct%202020%2005:52:22%20GMT	https://validthemes.live//themeforest/digilab/services-2.html	C:/Users/sumit/Desktop/projects/WEB3_connect_bhopal/web3_event_bhopal/validthemes.live/themeforest/digilab/services-2.html	(from https://validthemes.live//themeforest/digilab/index-1.html)
